USER_ID,PLATFORM,APP_NAME,CREATE_TS,INSTALL_TS,SESSION_ID
84,android,app_1,2022-01-05 15:17:58.000,2022-01-03 10:24:57.000,1641395878842
84,android,app_1,2022-01-05 18:15:01.000,2022-01-03 10:24:57.000,1641406501281
84,android,app_1,2022-01-05 18:17:57.000,2022-01-03 10:24:57.000,1641406677417
84,android,app_1,2022-01-05 18:18:27.000,2022-01-03 10:24:57.000,1641406707868
84,android,app_1,2022-01-05 18:19:53.000,2022-01-03 10:24:57.000,1641406793511
84,android,app_1,2022-01-05 18:21:06.000,2022-01-03 10:24:57.000,1641406866955
20,ios,app_1,2022-01-01 20:23:40.000,2022-01-01 20:23:38.000,1641068620248
20,ios,app_1,2022-01-01 20:23:49.000,2022-01-01 20:23:38.000,1641068629084
20,ios,app_1,2022-01-01 20:26:15.000,2022-01-01 20:23:38.000,1641068775181
20,ios,app_1,2022-01-01 20:29:10.000,2022-01-01 20:23:38.000,1641068950425
20,ios,app_1,2022-01-01 20:29:25.000,2022-01-01 20:23:38.000,1641068965608
25,ios,app_1,2022-01-01 05:29:23.000,2022-01-01 05:28:54.000,1641014963358
25,ios,app_1,2022-01-01 05:33:51.000,2022-01-01 05:28:54.000,1641015231031
25,ios,app_1,2022-01-01 05:34:33.000,2022-01-01 05:28:54.000,1641015273134
25,ios,app_1,2022-01-01 05:40:16.000,2022-01-01 05:28:54.000,1641015616063
25,ios,app_1,2022-01-01 05:43:47.000,2022-01-01 05:28:54.000,1641015827119
25,ios,app_1,2022-01-01 05:44:56.000,2022-01-01 05:28:54.000,1641015896554
14,ios,app_1,2022-01-01 00:14:07.000,2022-01-01 00:14:06.000,1640996047473
65,ios,app_1,2022-01-03 18:14:15.000,2022-01-02 12:58:55.000,1641233655327
65,ios,app_1,2022-01-03 18:15:58.000,2022-01-02 12:58:55.000,1641233758447
89,ios,app_1,2022-01-03 17:03:29.000,2022-01-03 17:03:28.000,1641229409706
89,ios,app_1,2022-01-03 17:03:33.000,2022-01-03 17:03:28.000,1641229413187
89,ios,app_1,2022-01-03 17:07:56.000,2022-01-03 17:03:28.000,1641229676781
89,ios,app_1,2022-01-03 17:08:22.000,2022-01-03 17:03:28.000,1641229702784
89,ios,app_1,2022-01-03 17:08:34.000,2022-01-03 17:03:28.000,1641229714607
89,ios,app_1,2022-01-03 17:20:20.000,2022-01-03 17:03:28.000,1641230420346
89,ios,app_1,2022-01-03 18:39:15.000,2022-01-03 17:03:28.000,1641235155905
89,ios,app_1,2022-01-03 18:41:53.000,2022-01-03 17:03:28.000,1641235313277
89,ios,app_1,2022-01-03 18:42:28.000,2022-01-03 17:03:28.000,1641235348173
89,ios,app_1,2022-01-03 18:48:24.000,2022-01-03 17:03:28.000,1641235704684
89,ios,app_1,2022-01-03 20:50:20.000,2022-01-03 17:03:28.000,1641243020425
89,ios,app_1,2022-01-03 23:40:38.000,2022-01-03 17:03:28.000,1641253238617
89,ios,app_1,2022-01-03 23:41:09.000,2022-01-03 17:03:28.000,1641253269690
89,ios,app_1,2022-01-03 23:42:37.000,2022-01-03 17:03:28.000,1641253357992
89,ios,app_1,2022-01-03 23:51:37.000,2022-01-03 17:03:28.000,1641253897298
89,ios,app_1,2022-01-03 23:59:56.000,2022-01-03 17:03:28.000,1641254396613
77,ios,app_1,2022-01-03 19:32:21.000,2022-01-03 12:05:37.000,1641238341764
77,ios,app_1,2022-01-03 19:33:55.000,2022-01-03 12:05:37.000,1641238435137
77,ios,app_1,2022-01-03 19:44:44.000,2022-01-03 12:05:37.000,1641239084994
54,ios,app_1,2022-01-03 18:59:18.000,2022-01-02 20:06:10.000,1641236358080
66,ios,app_1,2022-01-03 18:30:31.000,2022-01-02 02:20:03.000,1641234631292
88,ios,app_1,2022-01-03 18:01:24.000,2022-01-03 09:12:19.000,1641232884940
88,ios,app_1,2022-01-03 18:11:38.000,2022-01-03 09:12:19.000,1641233498620
88,ios,app_1,2022-01-03 19:01:33.000,2022-01-03 09:12:19.000,1641236493093
88,ios,app_1,2022-01-03 19:08:11.000,2022-01-03 09:12:19.000,1641236891712
88,ios,app_1,2022-01-03 19:08:12.000,2022-01-03 09:12:19.000,1641236892761
2,ios,app_1,2022-01-01 18:55:28.000,2022-01-01 18:55:17.000,1641063328206
2,ios,app_1,2022-01-01 18:58:08.000,2022-01-01 18:55:17.000,1641063488674
2,ios,app_1,2022-01-01 19:28:03.000,2022-01-01 18:55:17.000,1641065283271
2,ios,app_1,2022-01-01 19:33:20.000,2022-01-01 18:55:17.000,1641065600614
33,android,app_1,2022-01-01 22:34:54.000,2022-01-01 22:34:55.000,1641076494670
33,android,app_1,2022-01-01 22:35:42.000,2022-01-01 22:34:55.000,1641076542739
33,android,app_1,2022-01-01 22:36:39.000,2022-01-01 22:34:55.000,1641076599459
33,android,app_1,2022-01-01 22:38:17.000,2022-01-01 22:34:55.000,1641076697101
17,android,app_1,2022-01-01 18:36:25.000,2022-01-01 18:36:26.000,1641062185192
17,android,app_1,2022-01-01 18:36:46.000,2022-01-01 18:36:26.000,1641062206065
17,android,app_1,2022-01-01 18:37:55.000,2022-01-01 18:36:26.000,1641062275723
17,android,app_1,2022-01-01 18:40:09.000,2022-01-01 18:36:26.000,1641062409019
17,android,app_1,2022-01-01 18:41:23.000,2022-01-01 18:36:26.000,1641062483730
17,android,app_1,2022-01-01 18:42:19.000,2022-01-01 18:36:26.000,1641062539831
17,android,app_1,2022-01-01 18:43:23.000,2022-01-01 18:36:26.000,1641062603987
17,android,app_1,2022-01-01 18:44:16.000,2022-01-01 18:36:26.000,1641062656963
17,android,app_1,2022-01-01 21:34:36.000,2022-01-01 18:36:26.000,1641072876243
17,android,app_1,2022-01-01 21:37:18.000,2022-01-01 18:36:26.000,1641073038784
17,android,app_1,2022-01-01 21:38:53.000,2022-01-01 18:36:26.000,1641073133439
17,android,app_1,2022-01-01 21:42:12.000,2022-01-01 18:36:26.000,1641073332876
17,android,app_1,2022-01-01 21:44:11.000,2022-01-01 18:36:26.000,1641073451833
17,android,app_1,2022-01-01 21:45:57.000,2022-01-01 18:36:26.000,1641073557962
17,android,app_1,2022-01-01 21:46:58.000,2022-01-01 18:36:26.000,1641073618534
17,android,app_1,2022-01-01 21:48:25.000,2022-01-01 18:36:26.000,1641073705422
17,android,app_1,2022-01-01 22:34:38.000,2022-01-01 18:36:26.000,1641076478769
15,android,app_1,2022-01-01 17:18:38.000,2022-01-01 17:18:40.000,1641057518832
15,android,app_1,2022-01-01 17:19:25.000,2022-01-01 17:18:40.000,1641057565721
15,android,app_1,2022-01-01 17:19:25.000,2022-01-01 17:18:40.000,1641057565721
6,android,app_1,2022-01-01 16:47:42.000,2022-01-01 00:53:50.000,1641055662727
29,android,app_1,2022-01-07 13:05:37.000,2022-01-01 16:30:12.000,1641560737369
100,android,app_1,2022-01-06 17:14:21.000,2022-01-06 17:14:24.000,1641489261068
100,android,app_1,2022-01-06 17:16:06.000,2022-01-06 17:14:24.000,1641489366070
100,android,app_1,2022-01-06 17:17:33.000,2022-01-06 17:14:24.000,1641489453276
18,android,app_1,2022-01-07 16:48:55.000,2022-01-01 08:41:18.000,1641574135438
18,android,app_1,2022-01-07 16:50:01.000,2022-01-01 08:41:18.000,1641574201576
18,android,app_1,2022-01-07 16:51:12.000,2022-01-01 08:41:18.000,1641574272472
18,android,app_1,2022-01-07 16:52:06.000,2022-01-01 08:41:18.000,1641574326031
18,android,app_1,2022-01-07 16:52:33.000,2022-01-01 08:41:18.000,1641574353633
18,android,app_1,2022-01-07 16:53:30.000,2022-01-01 08:41:18.000,1641574410475
18,android,app_1,2022-01-07 16:55:12.000,2022-01-01 08:41:18.000,1641574512473
18,android,app_1,2022-01-07 17:07:00.000,2022-01-01 08:41:18.000,1641575220138
18,android,app_1,2022-01-07 17:08:09.000,2022-01-01 08:41:18.000,1641575289301
18,android,app_1,2022-01-07 17:10:26.000,2022-01-01 08:41:18.000,1641575426517
